dataset,strategy,bin,n,accuracy
nq,age,early,62,0.06451612903225806
nq,age,mid,25,0.0
nq,age,late,13,0.15384615384615385
nq,attention,early,62,0.08064516129032258
nq,attention,mid,25,0.0
nq,attention,late,13,0.0
nq,random,early,62,0.08064516129032258
nq,random,mid,25,0.04
nq,random,late,13,0.07692307692307693
nq,surprise,early,62,0.06451612903225806
nq,surprise,mid,25,0.0
nq,surprise,late,13,0.0
squad,age,early,46,0.30434782608695654
squad,age,mid,33,0.5151515151515151
squad,age,late,21,0.3333333333333333
squad,attention,early,46,0.34782608695652173
squad,attention,mid,33,0.3939393939393939
squad,attention,late,21,0.2857142857142857
squad,random,early,46,0.41304347826086957
squad,random,mid,33,0.3939393939393939
squad,random,late,21,0.2857142857142857
squad,surprise,early,46,0.30434782608695654
squad,surprise,mid,33,0.42424242424242425
squad,surprise,late,21,0.38095238095238093
